%Channels,1,
%Samples,6163,
%Date,3/6/2015,
%Time,11:55:06,
%Y_Unit_Label,Angle (deg),
%X_Dimension,Time (s),
%X0,55:06.4,
%Delta_X,0.02,
%***End_of_Header***,,
%X_Value,03/06/2015 11:55:02 AM - Angular - Dev1_ctr0,Comment
17.78,-39.564,
17.8,-38.556,
17.82,-37.404,
17.84,-36.036,
17.86,-34.524,
17.88,-32.832,
17.9,-31.032,
17.92,-29.016,
17.94,-26.856,
17.96,-24.66,
17.98,-22.32,
18,-19.872,
18.02,-17.352,
18.04,-14.796,
18.06,-12.096,
18.08,-9.324,
18.1,-6.516,
18.12,-3.708,
18.14,-0.864,
18.16,1.944,
18.18,4.788,
18.2,7.632,
18.22,10.368,
18.24,13.104,
18.26,15.732,
18.28,18.36,
18.3,20.844,
18.32,23.256,
18.34,25.56,
18.36,27.72,
18.38,29.772,
18.4,31.608,
18.42,33.3,
18.44,34.884,
18.46,36.288,
18.48,37.512,
18.5,38.556,
18.52,39.42,
18.54,40.068,
18.56,40.572,
18.58,40.896,
18.6,41.004,
18.62,40.932,
18.64,40.68,
18.66,40.248,
18.68,39.6,
18.7,38.772,
18.72,37.764,
18.74,36.576,
18.76,35.244,
18.78,33.732,
18.8,32.076,
18.82,30.276,
18.84,28.26,
18.86,26.172,
18.88,23.94,
18.9,21.564,
18.92,19.116,
18.94,16.56,
18.96,13.896,
18.98,11.232,
19,8.46,
19.02,5.76,
19.04,2.952,
19.06,0.144,
19.08,-2.7,
19.1,-5.436,
19.12,-8.244,
19.14,-10.908,
19.16,-13.608,
19.18,-16.2,
19.2,-18.72,
19.22,-21.132,
19.24,-23.364,
19.26,-25.632,
19.28,-27.684,
19.3,-29.628,
19.32,-31.464,
19.34,-33.156,
19.36,-34.668,
19.38,-36.036,
19.4,-37.224,
19.42,-38.196,
19.44,-39.06,
19.46,-39.708,
19.48,-40.176,
19.5,-40.428,
19.52,-40.536,
19.54,-40.428,
19.56,-40.176,
19.58,-39.708,
19.6,-39.024,
19.62,-38.232,
19.64,-37.224,
19.66,-36.036,
19.68,-34.668,
19.7,-33.156,
19.72,-31.464,
19.74,-29.628,
19.76,-27.648,
19.78,-25.596,
19.8,-23.4,
19.82,-21.024,
19.84,-18.648,
19.86,-16.2,
19.88,-13.644,
19.9,-11.016,
19.92,-8.28,
19.94,-5.544,
19.96,-2.808,
19.98,-0.072,
20,2.736,
20.02,5.472,
20.04,8.172,
20.06,10.872,
20.08,13.536,
20.1,16.056,
20.12,18.612,
20.14,20.988,
20.16,23.328,
20.18,25.524,
20.2,27.612,
20.22,29.52,
20.24,31.32,
20.26,32.94,
20.28,34.38,
20.3,35.676,
20.32,36.828,
20.34,37.8,
20.36,38.592,
20.38,39.168,
20.4,39.6,
20.42,39.816,
20.44,39.888,
20.46,39.744,
20.48,39.42,
20.5,38.916,
20.52,38.232,
20.54,37.368,
20.56,36.324,
20.58,35.1,
20.6,33.732,
20.62,32.22,
20.64,30.564,
20.66,28.728,
20.68,26.748,
20.7,24.624,
20.72,22.392,
20.74,20.088,
20.76,17.568,
20.78,15.12,
20.8,12.564,
20.82,9.9,
20.84,7.236,
20.86,4.5,
20.88,1.764,
20.9,-0.9,
20.92,-3.6,
20.94,-6.336,
20.96,-9,
20.98,-11.664,
21,-14.22,
21.02,-16.704,
21.04,-19.152,
21.06,-21.384,
21.08,-23.616,
21.1,-25.704,
21.12,-27.684,
21.14,-29.52,
21.16,-31.248,
21.18,-32.796,
21.2,-34.236,
21.22,-35.496,
21.24,-36.576,
21.26,-37.476,
21.28,-38.232,
21.3,-38.772,
21.32,-39.132,
21.34,-39.348,
21.36,-39.348,
21.38,-39.168,
21.4,-38.844,
21.42,-38.304,
21.44,-37.62,
21.46,-36.72,
